Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10044,Canadian Fertilizers Limited,Canadian Fertilizers Limited,Medicine Hat,1250 52 Street Northwest,T1A 7R9,Alberta,50.09071,-110.71901,1 747.45,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Chemical Fertilizer (except Potash) Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10044-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110044&GoCTemplateCulture=en-CA
"
10045,Cancarb Ltd.,Cancarb Ltd.,Medicine Hat,1702 Brier Park Crescent Northwest,T1C 1T9,Alberta,50.0582,-110.7282,159.89,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,All Other Basic Inorganic Chemical Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325189&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10045-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110045&GoCTemplateCulture=en-CA
"
10046,"TransCanada Pipeline, Alberta System",Nova Gas Transmission Ltd.,Fairview,,T0H 1L0,Alberta,0,0,4 263.27,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Pipeline Transportation of Natural Gas,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=486210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10046-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110046&GoCTemplateCulture=en-CA
"
10047,Cardinal Power,"Cardinal Power of Canada, L.P.",Cardinal,170 Henry Street,K0E 1E0,Ontario,44.7846,-75.3773,34.26,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10047-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110047&GoCTemplateCulture=en-CA
"
10048,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Quesnel,50 North Star Road,V2J 3J6,British Columbia,52.998,-122.483,139.13,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Chemical Pulp Mills,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=322112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10048-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110048&GoCTemplateCulture=en-CA
"
10049,Caribou North Comp Stn 11-08,Cenovus Energy Inc.,Bonnyville,0,T9N 2H4,Alberta,55.0473,-110.5778,32.12,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10049-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110049&GoCTemplateCulture=en-CA
"
10050,Dundas Operations,Carmeuse Lime Canada Limited,Dundas,600 highway # 5 Highway West,L9H 3S9,Ontario,43.3521,-79.8679,427.81,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Lime Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=327410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10050-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110050&GoCTemplateCulture=en-CA
"
10051,Beachville Operation,Carmeuse Lime Canada Limited,Ingersoll,374681 Oxford County 6 Road,N5C 3K5,Ontario,43.0687,-80.858,382.47,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Lime Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=327410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10051-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110051&GoCTemplateCulture=en-CA
"
10052,Carol Project,Iron Ore Company of Canada,Labrador City,1 2 Avalon Drive,A2V 2V6,Newfoundland and Labrador,52.952,-66.9002,890.02,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Iron Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10052-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110052&GoCTemplateCulture=en-CA
"
10053,Carseland Nitrogen Operations,Agrium Inc.,Wheatland County,265009 221 Township Road,N/A,Alberta,50.846207,-113.587288,570.96,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Chemical Fertilizer (except Potash) Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10053-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110053&GoCTemplateCulture=en-CA
"
10054,Carseland Power Plant,TransCanada Energy Ltd.,Carseland,0,T0J 0M0,Alberta,50.90123,-113.39283,374.78,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10054-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110054&GoCTemplateCulture=en-CA
"
10055,Jeff Zubach,Orica Canada Inc.,Carseland,264077 221 TWP RD,T0J 0M0,Alberta,50.8467,-113.58117,111.37,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Chemical Fertilizer (except Potash) Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=325313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10055-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110055&GoCTemplateCulture=en-CA
"
10057,Ingredion Canada Incorporated - London Plant,Ingredion Canada Corporation,London,1100 Green Valley Road,N6N 1E3,Ontario,42.9217,-81.19,127.99,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Wet Corn Milling,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=311221&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10057-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110057&GoCTemplateCulture=en-CA
"
10058,Cavalier Energy Centre,ENMAX Cavalier GP Inc.,Strathmore,0,T1P 1K3,Alberta,51.0056,-113.1716,304.06,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10058-2021.html ,"http://indicators-map.canada.ca/App/Detail?id=0110058&GoCTemplateCulture=en-CA
"
